Uist22544,Uist22544_R1.fastq.gz,Uist22544_R2.fastq.gz,Uist22544_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,2327089767,Uist,Gas_acu,CLAC,CLAM,2,1,anad,?,NA
Uist22545,Uist22545_R1.fastq.gz,Uist22545_R2.fastq.gz,Uist22545_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,2407938018,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22546,Uist22546_R1.fastq.gz,Uist22546_R2.fastq.gz,Uist22546_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,3278545390,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22547,Uist22547_R1.fastq.gz,Uist22547_R2.fastq.gz,Uist22547_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,4250319528,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22548,Uist22548_R1.fastq.gz,Uist22548_R2.fastq.gz,Uist22548_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,3035818660,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22549,Uist22549_R1.fastq.gz,Uist22549_R2.fastq.gz,Uist22549_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,2195396674,Uist,Gas_acu,CLAC,CLAM,2,1,anad,M?,NA
Uist22550,Uist22550_R1.fastq.gz,Uist22550_R2.fastq.gz,Uist22550_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,3983325242,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22552,Uist22552_R1.fastq.gz,Uist22552_R2.fastq.gz,Uist22552_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,1445956103,Uist,Gas_acu,CLAC,CLAM,2,1,anad,?,NA
Uist22553,Uist22553_R1.fastq.gz,Uist22553_R2.fastq.gz,Uist22553_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,3130681093,Uist,Gas_acu,CLAC,CLAM,2,1,anad,F,NA
Uist22554,Uist22554_R1.fastq.gz,Uist22554_R2.fastq.gz,Uist22554_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,4515179002,Uist,Gas_acu,CLAC,CLAC,2,1,resi,?,NA
Uist22555,Uist22555_R1.fastq.gz,Uist22555_R2.fastq.gz,Uist22555_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,1545472125,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
Uist22556,Uist22556_R1.fastq.gz,Uist22556_R2.fastq.gz,Uist22556_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,4253799730,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
Uist22557,Uist22557_R1.fastq.gz,Uist22557_R2.fastq.gz,Uist22557_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,2497608569,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
Uist22558,Uist22558_R1.fastq.gz,Uist22558_R2.fastq.gz,Uist22558_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,4466553047,Uist,Gas_acu,CLAC,CLAC,2,1,resi,M,NA
Uist22559,Uist22559_R1.fastq.gz,Uist22559_R2.fastq.gz,Uist22559_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,3525597367,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
Uist22560,Uist22560_R1.fastq.gz,Uist22560_R2.fastq.gz,Uist22560_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,4184789186,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
Uist22561,Uist22561_R1.fastq.gz,Uist22561_R2.fastq.gz,Uist22561_R0.fastq.gz,sites/MacColl_stickleback_lab_2/Shared Documents/HPC_data_backup/bigdata/trimmed_fqs,5070770129,Uist,Gas_acu,CLAC,CLAC,2,1,resi,F,NA
